file,label,reasons
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fadmission%2F%26lnselect%3D2.html,not_program,fail:url
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fcampuses%2F%26lnselect%3D2.html,not_program,fail:url
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fcolleges%2F%26lnselect%3D2.html,not_program,fail:url
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fcolleges%2Fcoe%2Falex%2F%26lnselect%3D2.html,not_program,fail:url
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fcolleges%2Fcoe%2Fheliopolis%2F%26lnselect%3D2.html,not_program,fail:url
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fcolleges%2Fpractical-training%2F%26lnselect%3D2.html,not_program,fail:url
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fevents%2F%26lnselect%3D2.html,not_program,fail:url
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fgallery%2Findex.php%26lnselect%3D2.html,not_program,fail:url
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fidc_apps%2Freg_paths.php%26lnselect%3D2.html,not_program,fail:url
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Findex.php%26lnselect%3D2.html,not_program,fail:url
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fnews%2F%26lnselect%3D2.html,not_program,fail:url
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fprograms-courses%2Fresults.php%3Farea_study_id%3D0%26search%3D%26lnselect%3D2.html,not_program,fail:url
html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Fen%2Fvice%2Fedu-affairs%2F%26lnselect%3D2.html,not_program,fail:url
html\plain_aast.edu_en_index.php.html,not_program,fail:url
html\plain_aast.edu_en_info-for_applicants_.html,not_program,fail:url
html\plain_aast.edu_en_info-for_staff_.html,not_program,fail:url
html\plain_aast.edu_en_info-for_students_.html,not_program,fail:url
html\plain_aast.edu_en_info-for_visitors_.html,not_program,fail:url
html\plain_aast.edu_en_institutes_.html,not_program,fail:url
html\plain_aast.edu_en_institutes_aild_.html,not_program,fail:url
html\plain_aast.edu_en_institutes_pqi-cairo_contenttemp_item.php_unit_item=461&page_id=46100001.html,not_program,fail:url
html\plain_aast.edu_en_institutes_rmsi_.html,not_program,fail:url
html\plain_aast.edu_en_maritime_.html,not_program,fail:url
html\plain_aast.edu_en_new-applicants-2023_img_tabs_Digitalart.png.html,not_program,fail:url
html\plain_aast.edu_en_news.php_language=1&view=1&unit_id=1&event=7567&get_event_type=1.html,not_program,fail:url
html\plain_aast.edu_en_news.php_language=1&view=1&unit_id=1&event=7568&get_event_type=1.html,not_program,fail:url
html\plain_aast.edu_en_news_.html,not_program,fail:url
